"filename", "language", "JSON with Comments", "JavaScript", "TypeScript", "TypeScript JSX", "PostCSS", "Markdown", "JSON", "XML", "HTML", "comment", "blank", "total"
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\CloudSave.tsx", "TypeScript JSX", 0, 0, 0, 141, 0, 0, 0, 0, 0, 11, 44, 196
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\CloudSelectPage.tsx", "TypeScript JSX", 0, 0, 0, 127, 0, 0, 0, 0, 0, 19, 30, 176
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\GameIcon.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 22, 4, 52
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\GameSaveSelect.tsx", "TypeScript JSX", 0, 0, 0, 99, 0, 0, 0, 0, 0, 3, 26, 128
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\GameSelectPage.tsx", "TypeScript JSX", 0, 0, 0, 105, 0, 0, 0, 0, 0, 19, 18, 142
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\GoogleButton.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\HexGameCard.tsx", "TypeScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 5, 36
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\Homescreen.tsx", "TypeScript JSX", 0, 0, 0, 41, 0, 0, 0, 0, 0, 8, 10, 59
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\Profile_icon.tsx", "TypeScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 4, 40
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\TopBar.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\UploadGameSave.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 4, 25
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\authflow\authProvider.tsx", "TypeScript JSX", 0, 0, 0, 65, 0, 0, 0, 0, 0, 4, 6, 75
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\authflow\buttons.tsx", "TypeScript JSX", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 10, 83
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\authflow\file_management\buttons.tsx", "TypeScript JSX", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 16, 93
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\authflow\login-screen.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 6, 33
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\authflow\supabase-vite.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\steamgameslist.tsx", "TypeScript JSX", 0, 0, 0, 52, 0, 0, 0, 0, 0, 8, 10, 70
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\hooks\useAuth.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\index.css", "PostCSS", 0, 0, 0, 0, 101, 0, 0, 0, 0, 6, 13, 120
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\preload.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 3, 24
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\renderer.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 5, 5, 25
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\types.d.ts", "TypeScript", 0, 0, 87, 0, 0, 0, 0, 0, 0, 1, 7, 95
"c:\Dev\PKD_Project\Cloud-based-file-manager\tailwind.config.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"c:\Dev\PKD_Project\Cloud-based-file-manager\tsconfig.json", "JSON with Comments", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Dev\PKD_Project\Cloud-based-file-manager\vite.main.config.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 2, 19
"c:\Dev\PKD_Project\Cloud-based-file-manager\vite.preload.config.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"c:\Dev\PKD_Project\Cloud-based-file-manager\vite.renderer.config.mjs", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"Total", "-", 38, 44, 863, 1009, 101, 3, 12960, 57, 11, 222, 386, 15694
